,Source,Target,Weight
2110,Vidar,Freyja,2.0
2111,Vidar,Gefjun,2.0
2112,Vidar,Idun,2.0
2113,Vale,Loke,2.0
2114,Uller,Forsete,2.0
2115,Uller,Loke,2.0
2116,Honer,Asynjes,2.0
2118,Forsete,Frigg,2.0
2119,Loke,Asynjes,2.0
2120,Loke,Gefjun,2.0
2121,Frigg,Gefjun,2.0
2122,Frigg,Idun,2.0
2123,Frigg,Gerd,2.0
2124,Gefjun,Idun,2.0
2125,Brage,Drink,2.0
2126,Brage,Things,2.0
2127,Brage,Idun,2.0
2129,Brage,Journey,2.0
2131,Loke,Honer,2.0
2136,Idun,Home,2.0
2137,Asgard,Death,2.0
2140,Idun,Jotunheim,2.0
2142,Jotunheim,Freyja,2.0
2145,Thjasse,Loke,2.0
2148,Loke,Thjasse,2.0
2154,Thjasse,Asgard,2.0
2155,Thjasse,Njord,2.0
2156,Asgard,Njord,2.0
2157,Odin,Thjasse,2.0
2158,Odin,Heaven,2.0
2159,Æger,Man,2.0
2160,Brage,Father,2.0
2164,Brage,Gods,2.0
2167,Suttung,Home,2.0
2169,Suttung,Daughter,2.0
2173,Son,Suttung,2.0
2174,Æger,Names,2.0
2175,Æger,Mead,2.0
2178,Odin,Bolverk,2.0
2179,Bolverk,Suttung,2.0
2186,Bauge,Time,2.0
2188,Bolverk,Serpent,2.0
2192,Hence,Drink,2.0
2199,Odin,Farmatyr,2.0
2210,Thor,Sons,2.0
2211,Æneas,Troy,2.0
2212,Edda,Thor,2.0
2215,Odin,Jotunheim,2.0
2216,Sleipner,Name,2.0
2217,Sleipner,Hrungner,2.0
2218,Hrungner,Man,2.0
2221,Asgard,Hall,2.0
2222,Jotunheim,Sif,2.0
2223,Asgard,Home,2.0
2224,Freyja,Sif,2.0
2225,Freyja,Home,2.0
2230,Thor,Heart,2.0
2231,Hrungner,Heart,2.0
2232,Hrungner,Head,2.0
2234,Thjalfe,Hrungner,2.0
2236,Hrungner,Hands,2.0
2239,Hrungner,Foot,2.0
2243,Hrungner,Giant,2.0
2244,Hrungner,Giantess,2.0
2249,Orvandel,Home,2.0
2251,Orvandel,Flint-stone,2.0
2254,Hrungner,Brother,2.0
2258,Brage,Thor,2.0
2264,Geirrod,Strength,2.0
2265,Thor,Grid,2.0
2266,Grid,Thor,2.0
2267,Geirrod,Giant,2.0
2269,Loke,Stream,2.0
2270,Thor,Gjalp,2.0
2271,Gjalp,Daughter,2.0
2272,Geirrod,Stream,2.0
2275,Gjalp,Thor,2.0
2277,Greip,Thor,2.0
2278,Thor,Daughters,2.0
2279,Greip,Hall,2.0
2280,Geirrod,Daughters,2.0
2288,Odin,Geirrod,2.0
2294,Geirrod,Giants,2.0
2300,Odin,Air,2.0
2301,Freyja,Hands,2.0
2302,Uller,Giant,2.0
2307,Honer,Fire,2.0
2308,Honer,Odin,2.0
2309,Loke,Husband,2.0
2310,Jotunheim,Honer,2.0
2317,Idun,Giants,2.0
2321,Idun,Thor,2.0
2322,Glaser,Freyja,2.0
2323,Glaser,Draupner,2.0
2324,Fulla,Freyja,2.0
2325,Fulla,Draupner,2.0
2327,Freyja,Eyes,2.0
2330,Draupner,Freyja,2.0
2331,Draupner,Eyes,2.0
2332,Draupner,Asas,2.0
2334,Draupner,Fyrisvold,2.0
2339,Æger,Asgard,2.0
2340,Frey,Skade,2.0
2341,Frey,Sif,2.0
2342,Æger,Hall,2.0
2343,Valhal,Loke,2.0
2344,Valhal,Gods,2.0
2348,Æger,Wife,2.0
2352,Brage,King,2.0
2353,Glaser,Gold,2.0
2354,Valhal,Glaser,2.0
2359,Loke,Skidbladner,2.0
2361,Skidbladner,Head,2.0
2362,Thereupon,Loke,2.0
2363,Thereupon,Dwarf,2.0
2367,Thor,Sif,2.0
2369,Frey,Skidbladner,2.0
2370,Loke,Frey,2.0
2371,Frey,Day,2.0
2378,Loke,Otter,2.0
2379,Hreidmar,Regin,2.0
2380,Fafner,Father,2.0
2381,Hreidmar,Son,2.0
2383,Loke,Home,2.0
2391,Regin,Hreidmar,2.0
2393,Hreidmar,Father,2.0
2394,Regin,Sword,2.0
2398,Fafner,Serpent,2.0
2402,Sigmund,Volsung,2.0
2403,Sigmund,Daughter,2.0
2407,Thereupon,Sigurd,2.0
2408,Thereupon,Fafner,2.0
2415,Sigurd,Death,2.0
2416,Sigurd,Brother,2.0
2419,Regin,Horse,2.0
2421,Grane,Fafner,2.0
2423,Grane,Gold,2.0
2424,Fafner,Grane,2.0
2425,Hild,King,2.0
2426,Brynhild,King,2.0
2428,Sigurd,King,2.0
2429,Gjuke,Wife,2.0
2430,Gjuke,Children,2.0
2433,Gunnar,Daughter,2.0
2434,Gudrun,Gjuke,2.0
2437,Gjuke,Atle,2.0
2438,Gunnar,Budle,2.0
2439,Hogne,Budle,2.0
2440,Sigurd,Sons,2.0
2442,Budle,Son,2.0
2443,Budle,Brynhild,2.0
2444,Budle,Gunnar,2.0
2445,Budle,Wife,2.0
2448,Vafurloge,Horse,2.0
2449,Sigurd,Man,2.0
2450,Gunnar,Grane,2.0
2454,Brynhild,Sword,2.0
2456,Brynhild,Gold,2.0
2457,Brynhild,Ring,2.0
2458,Loke,Sigurd,2.0
2460,Gjuke,Names,2.0
2462,Brynhild,Children,2.0
2463,Sigurd,Names,2.0
2465,Sigmund,Brynhild,2.0
2468,Brynhild,River,2.0
2469,Gudrun,River,2.0
2470,Gudrun,Husband,2.0
2471,Fafner,Brynhild,2.0
2472,Vafurloge,Sigurd,2.0
